date,auc_score,pr_auc
2015-01-01,0.8277286732439078,0.018422298285231443
2015-02-01,0.8203315645428307,0.01978036702319169
2015-03-01,0.8096424521241198,0.022101158817432517
2015-04-01,0.8072435378784653,0.023854407207049805
2015-05-01,0.8035963758222664,0.025431664642397406
2015-06-01,0.7913054475942998,0.025925406296570447
2015-07-01,0.7815178211880729,0.025022526349126203
2015-08-01,0.7672046693555175,0.02371503803688904
2015-09-01,0.7391538160207244,0.021837214388169435
2015-10-01,0.7112179867618105,0.018750893837236424
2015-11-01,0.6975061780690303,0.015456547800303715
2015-12-01,0.6907196023231038,0.014108656033563751
2016-01-01,0.6889992776652293,0.012908104564949391
2016-02-01,0.6912046424610422,0.013067569914779528
2016-03-01,0.6981387254503962,0.014427488765483781
2016-04-01,0.6932973098977708,0.015523160958708019
2016-05-01,0.697019230278372,0.01731016484798377
2016-06-01,0.7076933469626212,0.021076525694970608
2016-07-01,0.7117595295073286,0.02349937692458518
2016-08-01,0.7165609956557474,0.025071063545970496
2016-09-01,0.7259661255189658,0.026852135598458865
2016-10-01,0.7312476812160956,0.028756328341960777
2016-11-01,0.7345556114178434,0.03046198885021016
2016-12-01,0.7350498049440153,0.03142187512287721
2017-01-01,0.7346732040646946,0.030317935886410106
2017-02-01,0.7311879484733147,0.028257513660385473
2017-03-01,0.7276774580652354,0.02690930546844475
2017-04-01,0.7280175978423645,0.025734301287971075
2017-05-01,0.7242939583288904,0.024084697372078204
2017-06-01,0.7201805991834483,0.022996120681166944
2017-07-01,0.7210287038094114,0.02331942550628649
2017-08-01,0.7251394246640174,0.02554926400240994
2017-09-01,0.7265334979983862,0.026626065510865955
2017-10-01,0.7253631547357907,0.027794593337299753
2017-11-01,0.7250282029803502,0.028193038550151373
2017-12-01,0.7248819776596112,0.028618333199823008
2018-01-01,0.7296147693260399,0.03117799211393992
2018-02-01,0.7390613256191316,0.03519491869350212
2018-03-01,0.7492906028714322,0.03830147224476446
2018-04-01,0.7559942349083599,0.04062506141577568
2018-05-01,0.765859930465207,0.04451380366618818
2018-06-01,0.7772553261710275,0.04994833162928421
2018-07-01,0.7834239630239039,0.05492259898627298
2018-08-01,0.7876405784328189,0.05872329071942328
2018-09-01,0.7926894036481695,0.0637182904664083
2018-10-01,0.8045764726958845,0.06667021654967248
2018-11-01,0.8151446148764425,0.07007441860132217
2018-12-01,0.8252164168140927,0.06960381773300656
2019-01-01,0.8314517969123236,0.06912253626060516
2019-02-01,0.8340398021721219,0.06863398105421256
2019-03-01,0.8354801996287121,0.06947772754108072
2019-04-01,0.8399553543809144,0.07226637044823088
2019-05-01,0.8438757325678747,0.07392649311641897
2019-06-01,0.8478196830313182,0.07715920215510585
2019-07-01,0.8517232224767514,0.0835808711082691
2019-08-01,0.8561231798916906,0.09454757206544878
2019-09-01,0.859885079116604,0.10073561124599556
2019-10-01,0.8607576230342789,0.10678607204345689
2019-11-01,0.8629250245648967,0.11222518835041424
2019-12-01,0.865072269219649,0.11847260258461145
2020-01-01,0.8724479869461905,0.13032757895836045
2020-02-01,0.8807576937228032,0.14201139390766618
2020-03-01,0.8881755863467921,0.15323288518921144
2020-04-01,0.8947026583953475,0.16454263523250012
2020-05-01,0.9000665942826667,0.17814651446625887
2020-06-01,0.9034360262346626,0.19094924954850467
2020-07-01,0.9058277493792135,0.19739487588257465
2020-08-01,0.9077173421627643,0.1999024251784643
2020-09-01,0.9110746510872686,0.20457625836439006
2020-10-01,0.9145636556104707,0.21277697707136176
2020-11-01,0.91562705683248,0.2182056587746441
2020-12-01,0.917352246252281,0.21772739483401202
2021-01-01,0.915567066105029,0.20834824744076094
2021-02-01,0.9127968223455588,0.20009106733741638
2021-03-01,0.9115865422598185,0.1912013074315978
2021-04-01,0.9093087390123181,0.17886866375257157
2021-05-01,0.9051957550950345,0.169320964336483
2021-06-01,0.9027189291225697,0.16576680840851618
2021-07-01,0.9009559715577204,0.1691323721719447
2021-08-01,0.8977815454596122,0.17348574908220435
2021-09-01,0.8928943541235923,0.1748110943625116
2021-10-01,0.887393072231386,0.1753434105759481
2021-11-01,0.8840997121073996,0.1756933488905572
2021-12-01,0.8805638233302369,0.17877984957762982
2022-01-01,0.8760758238971408,0.18277737964611648
2022-02-01,0.8715241921225463,0.18434328719429569
2022-03-01,0.8666970833056934,0.18521745566522074
2022-04-01,0.8624302492692381,0.18571622838170915
2022-05-01,0.8628321089922254,0.18479878373567715
2022-06-01,0.8644001888498737,0.18516038130435514
2022-07-01,0.8676503351672135,0.18081299982293325
2022-08-01,0.870095616555412,0.1769334415251178
2022-09-01,0.8735614154450771,0.1722385930803265
2022-10-01,0.8804883139170895,0.16976864080953216
2022-11-01,0.8869708614020472,0.17049698158891166
2022-12-01,0.8925574865973382,0.16777989532516294
2023-01-01,0.9020987592081329,0.1681105679898265
2023-02-01,0.9117797859800573,0.17204616542725815
2023-03-01,0.9226171537493885,0.17345386309188104
2023-04-01,0.9347723182852662,0.17749300079101485
2023-05-01,0.9405031979198036,0.18173124662315726
2023-06-01,0.9451262622292248,0.17705967279675688
2023-07-01,0.946337934200885,0.17013338877670883
2023-08-01,0.9502718526787028,0.15988365748656186
2023-09-01,0.9550862224324038,0.1675123917973718
2023-10-01,0.9564178834816015,0.1726754602114099
2023-11-01,0.9574443047361124,0.1729998207294892
2023-12-01,0.9642014822008972,0.18146166324800966
2024-01-01,0.9706261789575784,0.19246939169668362
2024-02-01,0.9732177686781696,0.19414674377058233
2024-03-01,0.9760614126103367,0.2011950827105761
